date,actual_price,xrp_hybrid_pred
2024-01-17,0.5685,0.5714037853711914
2024-01-18,0.552,0.5659004370868773
2024-01-19,0.5443,0.548721908029934
2024-01-20,0.5534,0.5408245296280588
2024-01-21,0.5464,0.5502308560286948
2024-01-22,0.5275,0.543098827110803
2024-01-23,0.5183,0.5235007489412761
2024-01-24,0.5181,0.5139670219481097
2024-01-25,0.5138,0.5136328185222052
2024-01-26,0.5323,0.5093740061543748
2024-01-27,0.5303,0.5287099592421571
2024-01-28,0.5241,0.5270754651698464
2024-01-29,0.5352,0.5211248753043427
2024-01-30,0.5107,0.5329181547131868
2024-01-31,0.5033,0.5075742713983588
2024-02-01,0.5058,0.49987439029936753
2024-02-02,0.5105,0.5025023236859559
2024-02-03,0.5186,0.5075746763123423
2024-02-04,0.5032,0.5163282898391754
2024-02-05,0.5069,0.50049756822499
2024-02-06,0.505,0.5043751449025003
2024-02-07,0.5138,0.5025440757796682
2024-02-08,0.5147,0.5119551894444008
2024-02-09,0.5262,0.5131016262123113
2024-02-10,0.5239,0.5252691458201811
2024-02-11,0.5261,0.5230385029806699
2024-02-12,0.5315,0.5252959312847233
2024-02-13,0.5247,0.5310075473222003
2024-02-14,0.5378,0.5239283381507011
2024-02-15,0.5622,0.5375243476489602
2024-02-16,0.5643,0.5633324015416594
2024-02-17,0.5496,0.5656955200499212
2024-02-18,0.5571,0.5501567047481842
2024-02-19,0.5626,0.5577258469055231
2024-02-20,0.5622,0.5632320256130807
2024-02-21,0.5491,0.5627147506647522
2024-02-22,0.541,0.5486846692932263
2024-02-23,0.5342,0.5398582617716197
2024-02-24,0.545,0.532355115633008
2024-02-25,0.5425,0.5434028785115719
2024-02-26,0.5506,0.5406630734582543
2024-02-27,0.5861,0.5491365498096261
2024-02-28,0.575,0.586437793536164
2024-02-29,0.5867,0.5750470390015923
2024-03-01,0.6013,0.5874201866595126
2024-03-02,0.6442,0.6026999816818672
2024-03-03,0.6271,0.6478098590459709
2024-03-04,0.6477,0.629959805069592
2024-03-05,0.5912,0.6515684441601612
2024-03-06,0.6121,0.5916919613581021
2024-03-07,0.627,0.6128273204517005
2024-03-08,0.62,0.6280279387418977
2024-03-09,0.6197,0.6204757986340493
2024-03-10,0.608,0.6198510441328063
2024-03-11,0.723,0.6072590396247304
2024-03-12,0.688,0.7278760120717002
2024-03-13,0.6891,0.691482756034519
2024-03-14,0.669,0.6924442218673059
2024-03-15,0.6342,0.6706348453912783
2024-03-16,0.6031,0.6335465588057767
2024-03-17,0.6191,0.6001333783303384
2024-03-18,0.6453,0.6160375607453218
2024-03-19,0.5845,0.6429629986033327
2024-03-20,0.6107,0.5797096632731549
2024-03-21,0.6404,0.6066046161253028
2024-03-22,0.6115,0.638108629486606
2024-03-23,0.6167,0.608140544231675
2024-03-24,0.6325,0.6135733596195045
2024-03-25,0.6406,0.6302986048168779
2024-03-26,0.6317,0.6390687999537211
2024-03-27,0.6118,0.6300612836878577
2024-03-28,0.6244,0.6087065477014388
2024-03-29,0.6301,0.622059992817306
2024-03-30,0.6212,0.6281388949277562
2024-03-31,0.6292,0.6190723577103404
2024-04-01,0.611,0.627641699385035
2024-04-02,0.5854,0.608769812054675
2024-04-03,0.5742,0.581751503558017
2024-04-04,0.5935,0.5696800563924618
2024-04-05,0.5871,0.5900057372790374
2024-04-06,0.593,0.5833211729128014
2024-04-07,0.5944,0.5895093722755885
2024-04-08,0.6147,0.5914042623726499
2024-04-09,0.6141,0.6128598438642869
2024-04-10,0.6172,0.6125189843488603
2024-04-11,0.6086,0.6159820039585908
2024-04-12,0.5468,0.6071793516567398
2024-04-13,0.4788,0.5426403538382463
2024-04-14,0.5033,0.4714542282916978
2024-04-15,0.4977,0.49610695942529115
2024-04-16,0.4965,0.4904129901732907
2024-04-17,0.4951,0.48944248299206755
2024-04-18,0.5025,0.4885353198627862
2024-04-19,0.503,0.4968593054180661
2024-04-20,0.5288,0.49802886708917377
2024-04-21,0.5246,0.5254004921942063
2024-04-22,0.556,0.5217916757250809
2024-04-23,0.5445,0.5551708137952056
2024-04-24,0.5275,0.5437206498417371
2024-04-25,0.5254,0.5260600581251547
2024-04-26,0.5261,0.5238584262200982
2024-04-27,0.5179,0.5245448515708093
2024-04-28,0.5103,0.5159932733634434
2024-04-29,0.5151,0.5082655889700715
2024-04-30,0.5006,0.5134972577043764
2024-05-01,0.5175,0.49806200349670005
2024-05-02,0.518,0.5156332770295111
2024-05-03,0.5317,0.5162466368682633
2024-05-04,0.5302,0.5306984533847551
2024-05-05,0.5296,0.5292466506078951
2024-05-06,0.5402,0.5286921000402199
2024-05-07,0.5245,0.5396787494418852
2024-05-08,0.5171,0.5233181926154319
2024-05-09,0.5209,0.5152893051049147
2024-05-10,0.5022,0.5192148131484445
2024-05-11,0.5059,0.4996934626084794
2024-05-12,0.4993,0.5034018293997071
2024-05-13,0.5053,0.4964635511638779
2024-05-14,0.5002,0.5027644762173312
2024-05-15,0.5188,0.49756479422592353
2024-05-16,0.5157,0.5170645890279523
2024-05-17,0.5234,0.5141408585743596
2024-05-18,0.5213,0.5222458952642253
2024-05-19,0.5096,0.520195543813901
2024-05-20,0.5377,0.5079242251472363
2024-05-21,0.537,0.5373369342802774
2024-05-22,0.5268,0.5367880347870172
2024-05-23,0.5289,0.5260916309802158
2024-05-24,0.536,0.5282842887901006
2024-05-25,0.5416,0.5356661769480113
2024-05-26,0.5283,0.541461547021881
2024-05-27,0.534,0.5275573746375499
2024-05-28,0.5287,0.5332962354472813
2024-05-29,0.5238,0.5276405655849351
2024-05-30,0.5186,0.5223086278450603
2024-05-31,0.5176,0.5167388172154221
2024-06-01,0.5187,0.5154513980946267
2024-06-02,0.5135,0.5165699416598799
2024-06-03,0.5199,0.5110967499402352
2024-06-04,0.5257,0.5178115302482191
2024-06-05,0.5258,0.5240406414737193
2024-06-06,0.5215,0.5241127882879808
2024-06-07,0.4991,0.5197316020585315
2024-06-08,0.4926,0.49638887189711955
2024-06-09,0.4986,0.48944001028163175
2024-06-10,0.4969,0.49558270243342745
2024-06-11,0.4802,0.4938708057876158
2024-06-12,0.4916,0.4766349703991094
2024-06-13,0.4769,0.488513395795661
2024-06-14,0.4746,0.473391364604181
2024-06-15,0.4908,0.4711046953528468
2024-06-16,0.4891,0.488169137690373
2024-06-17,0.5047,0.48669923146307065
2024-06-18,0.491,0.503264235338282
2024-06-19,0.4933,0.4892478648479666
2024-06-20,0.4888,0.4917032605410434
2024-06-21,0.4889,0.4870368693852129
2024-06-22,0.4866,0.4871710894897853
2024-06-23,0.4797,0.4848179107374503
2024-06-24,0.474,0.4777230082187826
2024-06-25,0.4757,0.47173768082623635
2024-06-26,0.4698,0.4734247418875393
2024-06-27,0.4753,0.46729213676936215
2024-06-28,0.4716,0.4731458781272311
2024-06-29,0.4727,0.4692991842749202
2024-06-30,0.4761,0.4706057733448046
2024-07-01,0.477,0.47425399013969943
2024-07-02,0.4853,0.47521695538532
2024-07-03,0.4672,0.4840379436815746
2024-07-04,0.4329,0.4651521871565961
2024-07-05,0.4251,0.4293660019931247
2024-07-06,0.4488,0.4209637876627328
2024-07-07,0.4195,0.4455520898582504
2024-07-08,0.4316,0.4152707463510843
2024-07-09,0.4356,0.4279182214662619
2024-07-10,0.4388,0.4323667849609432
2024-07-11,0.4491,0.43603995505772314
2024-07-12,0.4745,0.4470990579108381
2024-07-13,0.5257,0.4740961076130482
2024-07-14,0.5205,0.5284398330917224
2024-07-15,0.5372,0.5236321095774106
2024-07-16,0.5793,0.5414668259192278
2024-07-17,0.626,0.586070821627906
2024-07-18,0.5697,0.6357967367057378
2024-07-19,0.5733,0.5757720199915882
2024-07-20,0.5937,0.5787837246669819
2024-07-21,0.5984,0.5996463874868045
2024-07-22,0.608,0.6038190960080925
2024-07-23,0.5975,0.6129516451940786
2024-07-24,0.6179,0.6013049891789323
2024-07-25,0.5996,0.62186530048281
2024-07-26,0.6034,0.6018562457158739
2024-07-27,0.5956,0.6050627650735033
2024-07-28,0.6012,0.5961380996175404
2024-07-29,0.6019,0.6012669161660245
2024-07-30,0.6277,0.6012952956137801
2024-07-31,0.623,0.6282059021309649
2024-08-01,0.5964,0.6231532536264313
2024-08-02,0.5607,0.5948831183511668
2024-08-03,0.5558,0.5570068347146366
2024-08-04,0.5228,0.5517723442233796
2024-08-05,0.4889,0.5171282545195557
2024-08-06,0.5062,0.4815981171696645
2024-08-07,0.6002,0.4992888465370443
2024-08-08,0.6166,0.5974466728195027
2024-08-09,0.5805,0.6160513143456069
2024-08-10,0.5841,0.5790968626775522
2024-08-11,0.5528,0.5832492920891118
2024-08-12,0.5684,0.5505426706779898
2024-08-13,0.577,0.5667133212677326
2024-08-14,0.5687,0.5757007300006977
2024-08-15,0.5607,0.5670962606653885
2024-08-16,0.5638,0.5585761943280177
2024-08-17,0.5665,0.5617988202388555
2024-08-18,0.5631,0.564771938955359
2024-08-19,0.5985,0.561415148330384
2024-08-20,0.5937,0.5985219683204694
2024-08-21,0.5999,0.5939038972404779
2024-08-22,0.5976,0.6006279656411793
2024-08-23,0.6109,0.5979723863906766
2024-08-24,0.6127,0.6112204411318476
2024-08-25,0.6,0.6130489770559953
2024-08-26,0.5874,0.5998569518765978
2024-08-27,0.5666,0.5863403091337347
2024-08-28,0.5693,0.5643847628440511
2024-08-29,0.5619,0.5666954756058065
2024-08-30,0.5667,0.5587208307716381
2024-08-31,0.5662,0.5636773866388466
2024-09-01,0.5472,0.563234968152174
2024-09-02,0.5677,0.5434502511771622
2024-09-03,0.5572,0.56481638713422
2024-09-04,0.5579,0.5540951997819025
2024-09-05,0.5444,0.55477943982808
2024-09-06,0.5211,0.5408923980489387
2024-09-07,0.5248,0.5166347473042836
2024-09-08,0.5295,0.5204587793370956
2024-09-09,0.5395,0.525432693114723
2024-09-10,0.5408,0.5361474639123669
2024-09-11,0.5348,0.5379516044869578
2024-09-12,0.5626,0.532057154283989
2024-09-13,0.5728,0.5614597972699965
2024-09-14,0.5956,0.5725133794503867
2024-09-15,0.5706,0.5968319487017792
2024-09-16,0.5866,0.5707763487208594
2024-09-17,0.5839,0.5874506080437444
2024-09-18,0.5852,0.5846295633579465
2024-09-19,0.5868,0.5856733127922149
2024-09-20,0.5851,0.587205696219342
2024-09-21,0.5976,0.5851833336632165
2024-09-22,0.5871,0.5981463536465348
2024-09-23,0.5847,0.5870809599007709
2024-09-24,0.5911,0.5842254914196171
2024-09-25,0.5831,0.5906230144657967
2024-09-26,0.5905,0.5819907664787424
2024-09-27,0.5888,0.5895372285320725
2024-09-28,0.6138,0.5876869468658376
2024-09-29,0.6412,0.6136471305134885
2024-09-30,0.6114,0.6425365553456123
2024-10-01,0.5967,0.6113005202874844
2024-10-02,0.5383,0.5958212136873493
2024-10-03,0.5217,0.5342865729938181
2024-10-04,0.534,0.5163714186260032
2024-10-05,0.5294,0.5287406412371016
2024-10-06,0.5336,0.5239898178535847
2024-10-07,0.5286,0.5285623387788113
2024-10-08,0.531,0.5236298991069415
2024-10-09,0.5245,0.52652936267735
2024-10-10,0.5305,0.5201420722633101
2024-10-11,0.5388,0.5266831639475191
2024-10-12,0.5393,0.535769625558971
2024-10-13,0.5321,0.5366567435094104
2024-10-14,0.5483,0.5294620649083005
2024-10-15,0.5417,0.5464819788545414
2024-10-16,0.5482,0.5397623651920385
2024-10-17,0.5441,0.5469103533828088
2024-10-18,0.5465,0.5428273917534506
2024-10-19,0.544,0.5456723569601576
2024-10-20,0.5482,0.5430781658501597
2024-10-21,0.5449,0.547300963157658
2024-10-22,0.5339,0.5438117575013224
2024-10-23,0.5258,0.5321683162343358
2024-10-24,0.532,0.5235579486695289
2024-10-25,0.5022,0.5298726973918484
2024-10-26,0.5134,0.49874622490632864
2024-10-27,0.5168,0.5102011858769903
2024-10-28,0.5195,0.5137611588220383
2024-10-29,0.5284,0.5167488764810498
2024-10-30,0.5229,0.5262972750028788
2024-10-31,0.5095,0.5206976477590837
2024-11-01,0.5131,0.5068681205901735
2024-11-02,0.5103,0.5106050753332376
2024-11-03,0.503,0.5077852771680338
2024-11-04,0.5035,0.5002224761125937
2024-11-05,0.514,0.5008013323958539
2024-11-06,0.5418,0.5118501368884751
2024-11-07,0.5556,0.5412113001979034
2024-11-08,0.5537,0.5561599480029854
2024-11-09,0.5593,0.5544997249940974
2024-11-10,0.5884,0.5604010588308552
2024-11-11,0.6207,0.5911972354907203
2024-11-12,0.704,0.6252681757559316
2024-11-13,0.6898,0.713719649197663
2024-11-14,0.7736,0.6989431586225637
2024-11-15,0.8922,0.7878378852788535
2024-11-16,1.1209,0.9148563568563148
2024-11-17,1.0543,1.1623969906672935
2024-11-18,1.1137,1.0901612084876293
2024-11-19,1.1003,1.152353713764006
2024-11-20,1.1041,1.134760786501236
2024-11-21,1.247,1.1348616037706372
2024-11-22,1.4726,1.2845148820356231
2024-11-23,1.4685,1.5247394757624755
2024-11-24,1.4331,1.5172200216050205
2024-11-25,1.4142,1.4746829647047115
2024-11-26,1.3984,1.4488591123012893
2024-11-27,1.4696,1.4259836433186601
2024-11-28,1.5421,1.4964131691765323
2024-11-29,1.8006,1.5685514399145102
2024-11-30,1.9513,1.8418991145597563
2024-12-01,2.2937,2.000636913794525
2024-12-02,2.7245,2.3663440714995767
2024-12-03,2.5102,2.8296620404764385
2024-12-04,2.3574,2.596067542923534
2024-12-05,2.2446,2.42286265380995
2024-12-06,2.4257,2.2922085620410586
2024-12-07,2.6099,2.4759571254235553
2024-12-08,2.6013,2.663617296984428
2024-12-09,2.2124,2.646219172086377
2024-12-10,2.3709,2.227299436605003
2024-12-11,2.3941,2.3868642738602883
2024-12-12,2.3384,2.406220259361292
2024-12-13,2.4217,2.343706459611983
2024-12-14,2.4005,2.4270504551966368
2024-12-15,2.4469,2.401992697750386
2024-12-16,2.4841,2.4469411485123422
2024-12-17,2.5673,2.4842600821313745
2024-12-18,2.3103,2.5693299799762244
2024-12-19,2.239,2.2982579861500385
2024-12-20,2.2793,2.2234880315393686
2024-12-21,2.238,2.2648175831591613
2024-12-22,2.2031,2.221982334155688
2024-12-23,2.2617,2.1844688287139706
2024-12-24,2.3238,2.2449827272161023
